num_nodes,trial,quantum_success_rate,classical_success_rate,total_success_rate,avg_path_length,connectivity
10,0,0.6,0.4,1.0,3.6,True
10,1,0.75,0.0,0.75,4.0,True
10,2,0.0,0.2,0.2,6.0,True
10,3,0.4,0.2,0.6,4.0,True
10,4,0.2,0.2,0.4,3.0,True
20,0,0.8888888888888888,0.0,0.8888888888888888,3.25,True
20,1,0.7,0.1,0.8,2.875,True
20,2,0.8888888888888888,0.0,0.8888888888888888,3.25,True
20,3,0.7777777777777778,0.0,0.7777777777777778,2.857142857142857,True
20,4,0.8,0.1,0.9,3.4444444444444446,True
30,0,0.9333333333333333,0.06666666666666667,1.0,2.933333333333333,True
30,1,0.8,0.13333333333333333,0.9333333333333333,3.4285714285714284,True
30,2,1.0,0.0,1.0,3.2857142857142856,True
30,3,0.8,0.2,1.0,3.7333333333333334,True
30,4,0.6923076923076923,0.3076923076923077,1.0,3.3846153846153846,True
50,0,0.7368421052631579,0.2631578947368421,1.0,4.052631578947368,True
50,1,0.8,0.1,0.9,3.388888888888889,True
50,2,0.8947368421052632,0.10526315789473684,1.0,3.3684210526315788,True
50,3,0.7894736842105263,0.10526315789473684,0.8947368421052632,3.235294117647059,True
50,4,0.65,0.25,0.9,3.5,True
